Vector Store ID: vs_688265aeb3708191ad97241a61d789e5
filename	file_id
accepted-payment-methods--accepted-payment-methods.md	file-R9xNUx5PamPnQxpezvcUTK
accepted-payment-methods--how-to-initiate-the-purchase-order-process.md	file-FHxqQX5oZ8tw9TigJZaD3J
configuring-mass-deployment-with-jamf-pro-mdm-on-apple-devices--configuring-mass-deployment-with-jamf-pro-mdm-on-a.md	file-EKKeYyM7HqjcfbHX9uw9kR
configuring-mass-deployment-with-jamf-pro-mdm-on-apple-devices--requirements.md	file-FSH2s9QutiKdvpUFukvVuo
configuring-mass-deployment-with-jamf-pro-mdm-on-apple-devices--step-1-load-optisigns-app-inside-jamf-mdm.md	file-8X9sKbED7UUeCahqA5NQD9
configuring-mass-deployment-with-jamf-pro-mdm-on-apple-devices--step-2-optisigns-app-enrollment-with-jamf-pro-mdm.md	file-C5fKUS4e8ZRsfrHh1f5HYV
configuring-mass-deployment-with-jamf-pro-mdm-on-apple-devices--step-3-deployment.md	file-FA4zMzj9GfnRJwJQqki3oS
designer-2-0-new-features--add-photos-to-your-design.md	file-2ynamoGpLEdowJU1DJyVAx
designer-2-0-new-features--add-qr-codes.md	file-9Pb1tPuDqB3PvBfEYLzjxd
designer-2-0-new-features--background-remover.md	file-HEFk51PfVSb1nwx8kPkDSP
designer-2-0-new-features--basic-designer-functions.md	file-HpC2yuLeYxZ4QEXy8NVFWS
designer-2-0-new-features--canvas-resize-options.md	file-661joRoNzF8Ah3FpKDEWSB
designer-2-0-new-features--copy-and-apply-style.md	file-GKVW1T5WRvR7ZVKd7qEncK
designer-2-0-new-features--design-differences-in-designer-20.md	file-RCkzkuMQ4kDvDiTx4J3DF3
designer-2-0-new-features--designer-20-new-features.md	file-L2bE9cRYxQoJivavDUoNWf
designer-2-0-new-features--effects.md	file-HrPnH9DJkxyDmtxhJd9UKo
designer-2-0-new-features--excel-date-format.md	file-MtifR6E5inshH6QektBtV4
designer-2-0-new-features--google-font-weights-support.md	file-Q3jCkyKEg7akWwjgAiKQji
designer-2-0-new-features--history.md	file-AzZGZK39ZiyKR9MRmqfWnH
designer-2-0-new-features--icons-or-elements.md	file-2viTSJF2iEfeberUCxw8nJ
designer-2-0-new-features--image-masking.md	file-CHHExFJkT3cd5k7jb6ZrpP
designer-2-0-new-features--layers.md	file-DYFTNTubPbR4go1DpCdqvf
designer-2-0-new-features--left-aligned-side-menu.md	file-Aa76FQZa86LFzzvMeaHsZi
designer-2-0-new-features--new-exciting-features-in-designer-20.md	file-7RSRf3hjKCzhxaN5ZhTfpu
designer-2-0-new-features--now-introducing-our-sleek-new-designer-20-we-have-.md	file-66Y7iduXWjoqvMpeERPctQ
designer-2-0-new-features--pan-tool.md	file-7YcKQDJ8YYV9Nf8YadhG7C
designer-2-0-new-features--reusable-component-library.md	file-CdmXCPAnZT4k5EYKau76nG
designer-2-0-new-features--scale-repeater-images.md	file-P9WwZJNKDbGzqRmguNKQAh
designer-2-0-new-features--text-case-options.md	file-7CSsAFAENPxsbySNRjYYXZ
designer-2-0-new-features--upload-assorted-apps.md	file-Rn8S2QvhzZHGFgCDkd8y1x
disk-encryption--disk-encryption.md	file-EDQC2JJqi2ZYh6mihPnS47
disk-encryption--how-to-recover-data-from-an-encrypted-optisigns-pl.md	file-4HVr6qWFoPFviQnFxHSpuQ
disk-encryption--how-to-set-up-encryption-on-an-optisigns-player.md	file-PRYZ1dd3cPCiuwVL1SfG4p
disk-encryption--in-this-article-well-walk-you-through-how-to-set-u.md	file-8PB9wDycohtgUkAArvSbRa
disk-encryption--what-youll-need.md	file-BiW24t7aMF36d14PsThKKo
display-salesforce-dashboards-with-mfa-using-web-scripting--display-salesforce-dashboards-with-mfa-using-web-s.md	file-KeUoC9H9aWupruMvNN3F1K
display-salesforce-dashboards-with-mfa-using-web-scripting--displaying-salesforce-dashboards-on-your-digital-s.md	file-VsCqC6fD5fEXn88n6JAhMR
display-salesforce-dashboards-with-mfa-using-web-scripting--record-set-up-your-web-scripting-app.md	file-DgnAkkaGh1FJggdZry4Bpc
display-salesforce-dashboards-with-mfa-using-web-scripting--setting-up-mfa.md	file-PG6xA1rZW2yDmbUT68p2jZ
enabling-lock-down-mode-on-touch-screen-devices--.md	file-TkGY5ZaoJfuTvisi113bzF
enabling-lock-down-mode-on-touch-screen-devices--android-tablets-and-devices.md	file-WXhop9fkyDYMhXwmMopFUn
enabling-lock-down-mode-on-touch-screen-devices--enabling-lock-down-mode-on-touch-screen-devices.md	file-Y6mnrFRmZzNL47Busuj6t3
enabling-lock-down-mode-on-touch-screen-devices--how-to-turn-off-lock-down-mode.md	file-XBhhmMrTrvj4aqwJzQBh18
enabling-lock-down-mode-on-touch-screen-devices--how-to-turn-on-lock-down-mode.md	file-PHkJajUSRexG4JpZWrZYht
enabling-lock-down-mode-on-touch-screen-devices--in-the-optisigns-portal.md	file-MM4GL4eVfQog1XpRvTo5L4
enabling-lock-down-mode-on-touch-screen-devices--ipad-and-other-ios-devices.md	file-NTNPELr7yx1Ga37mLCVTz5
enabling-lock-down-mode-on-touch-screen-devices--limitations.md	file-GEXzCxht2Ewb3547bG6mF2
enabling-lock-down-mode-on-touch-screen-devices--lock-down-mode-by-device.md	file-XReHP5pLJ7aV9irYHgrFEL
enabling-lock-down-mode-on-touch-screen-devices--lock-down-mode-is-essential-for-ensuring-users-onl.md	file-4xNGj8ZMbGNV58GYiFdygS
enabling-lock-down-mode-on-touch-screen-devices--on-the-device-level.md	file-JGwi6EnUFXQXbFt48R4W5R
enabling-lock-down-mode-on-touch-screen-devices--optisigns-android-player.md	file-RuAtVFTME2sAQKpiG8Vk33
enabling-lock-down-mode-on-touch-screen-devices--optisigns-pro-player.md	file-SvxDpdDsgdBHo3VAV2RVo8
enabling-lock-down-mode-on-touch-screen-devices--thats-it.md	file-XrnNAiwrrcncXCoFnqSg9M
enabling-lock-down-mode-on-touch-screen-devices--what-lock-down-mode-does.md	file-72qioG7Y8MNVDPzfkjb4U1
enabling-lock-down-mode-on-touch-screen-devices--windows-devices.md	file-4ucge4wubfJJsdJhHeLspn
fixing-unexpected-screen-rotation-incorrect-orientation-with-optisigns-android-stick--fixing-unexpected-screen-rotation-incorrect-orient.md	file-QGeQYb4BAVWbcMTJYSzmS2
getting-started-with-an-optisigns-free-trial--alright-ive-signed-up-for-a-free-trial-whats-the-e.md	file-USDU3un8cVZSJZ595p9Evi
getting-started-with-an-optisigns-free-trial--can-i-add-more-users-to-a-free-trial-account.md	file-QYjUPtQXmtEmcHYbfijccZ
getting-started-with-an-optisigns-free-trial--getting-started-with-an-optisigns-free-trial.md	file-RYktoh62bo4BPao2Dfr9Pw
getting-started-with-an-optisigns-free-trial--how-can-i-sign-up-for-a-more-advanced-plan.md	file-AkPxDLkNWGedrRpmf1vswA
getting-started-with-an-optisigns-free-trial--how-do-i-start-an-optisigns-free-trial.md	file-XjfFrbxfn1Rd5dKe6CSG6y
getting-started-with-an-optisigns-free-trial--in-this-article-we-take-you-through-the-features-y.md	file-3ip88NRA2vjD26iQ7znXwC
getting-started-with-an-optisigns-free-trial--what-comes-with-an-optisigns-free-trial.md	file-Qia7QEif4u3kMRDo2KPt4c
getting-started-with-an-optisigns-free-trial--what-happens-when-the-free-trial-expires.md	file-KiesdNoDsjo8zaUfZnWseQ
getting-started-with-designer--animate.md	file-8Q5Dk83ZSywLDNtrfU1aaK
getting-started-with-designer--background.md	file-Dxm5mpVFWysEEK6Kr1K2TD
getting-started-with-designer--canvas.md	file-SjnKHoHL9Gb9ggp7999oVx
getting-started-with-designer--close.md	file-JmeuvAUvE1F43Ddjz9PJ4V
getting-started-with-designer--designer-app-overview.md	file-MMNqpx6GURgyXNDNSZ1qjX
getting-started-with-designer--draw.md	file-YZ8ufTDXAUubx46pByKfyi
getting-started-with-designer--filter.md	file-Cn4tQEKRHy9dD1yeGSjZn3
getting-started-with-designer--frame.md	file-PhmwkuJcT3K2z28b9ES3V4
getting-started-with-designer--getting-started-with-designer.md	file-QKrzFub47uHYeKMwYxG7bY
getting-started-with-designer--hand-tool.md	file-5moeVmWDS4zJcPV127c7LZ
getting-started-with-designer--history.md	file-2XLbRdghbu1mgGDqSiRM3v
getting-started-with-designer--image.md	file-VM7F8YJwpAc8dKYXhNjEzy
getting-started-with-designer--in-this-article-well-cover-the-basic-functions-and.md	file-XkdDgj9S2QG8XSgeDSdpTW
getting-started-with-designer--layers.md	file-J9AZhMDoU3H3A862eyug3u
getting-started-with-designer--move-save-new-design-and-download-functions.md	file-V9Rd2UoaprPPmxHk14NAzj
getting-started-with-designer--naming-your-design.md	file-QxVZ5k18YUALf7CMFV1WQQ
getting-started-with-designer--opening-designer.md	file-9THKKqvBRGoRYs3qsGNaGj
getting-started-with-designer--preview-and-push-to-screens.md	file-PjciGHbgMAafvXeq5UKo8J
getting-started-with-designer--preview.md	file-AN4ob2kv442nzCtwjtVokr
getting-started-with-designer--push-to-screens.md	file-Enr6LkakNngPZV1yzDADsx
getting-started-with-designer--resize.md	file-9xBtQRBQn2P43oQBJfyjkU
getting-started-with-designer--shapes.md	file-XmecimdnhiV8c1mCQLNWjw
getting-started-with-designer--side-menu---additional-functions.md	file-DCUiaXQY4qehNwGLgWvJPr
getting-started-with-designer--switching-between-designer-20-and-designer-10.md	file-G9rE1p3cqesQdpLFDf3tmZ
getting-started-with-designer--text.md	file-FhzJThTVo6aCBn9ZEQJa5f
getting-started-with-designer--toolbar---positioning.md	file-BFFFmnEpRJRDMpKvrfyEXE
getting-started-with-designer--top-menu---basic-functions.md	file-5VjBKL7rDrbf12bMzdkSfp
getting-started-with-designer--undoredo.md	file-1ad4M886B6UVxjRNKaBqfx
getting-started-with-designer--zoom.md	file-Y2hMcNgYrb6BEYiserRrav
getting-started-with-touch-screen-kiosks--content-library-kiosk.md	file-GN81egxHMpSunG7burGP2C
getting-started-with-touch-screen-kiosks--each-of-these-options-is-designed-to-meet-specific.md	file-FKZ4t8bUfRDvFik6bNq1Tr
getting-started-with-touch-screen-kiosks--getting-started-with-touch-screen-kiosks.md	file-WT2xtcsBvXgvMND1UzC5ED
getting-started-with-touch-screen-kiosks--getting-your-kiosk-design-onto-a-touchscreen.md	file-XyQUawwYghce56o81FLcPu
getting-started-with-touch-screen-kiosks--kiosk-designer-pro.md	file-XXGZBPRzn76g2WZWwVzBB2
getting-started-with-touch-screen-kiosks--kiosk-lite.md	file-9YA3Gazt93CfgtG7rE7wna
getting-started-with-touch-screen-kiosks--option-1-through-engage.md	file-Nfm9pAFj7vE8JrghX2bxcT
getting-started-with-touch-screen-kiosks--option-2-through-designer.md	file-WXaBDeZxGvcJ8b6sFcRYSY
getting-started-with-touch-screen-kiosks--option-3-directly-assigning-content-to-a-screen.md	file-F9npXDDHmCSk3ggFRBsrDH
getting-started-with-touch-screen-kiosks--thats-it.md	file-MW5cNwXBwaxu5ELWeycfkh
getting-started-with-touch-screen-kiosks--the-ability-to-turn-your-screens-into-engaging-int.md	file-AwaQwjSh73BuSnDErUcpcq
getting-started-with-touch-screen-kiosks--types-of-touch-screen-kiosks.md	file-H1rcum8jdQU42tn5nVz26Q
guide-for-creating-content-with-optisigns--api-integration.md	file-TRvoWa8RuMQL1iT72bG1we
guide-for-creating-content-with-optisigns--canva.md	file-FVJi75crAXzuq14h3auvKP
guide-for-creating-content-with-optisigns--displaying-dashboards-power-bi-reports-and-more.md	file-9Mov21sYFw7m87w5Rp6LRZ
guide-for-creating-content-with-optisigns--engage-kiosk-assets.md	file-7ReSeESPAjhAwbfWvhK97J
guide-for-creating-content-with-optisigns--feeds-curated-content-for-any-environment.md	file-KfsAhgBB5n9bkFfGLNHDc2
guide-for-creating-content-with-optisigns--google-drive-and-onedrive-synchronization.md	file-WPZoEihXj3zys2Skn7x9qg
guide-for-creating-content-with-optisigns--guide-for-creating-content-with-optisigns.md	file-FUmyQkvikYhkie649tJg32
guide-for-creating-content-with-optisigns--now-go-explore-the-many-different-ways-to-bring-yo.md	file-Bd2CXbDajcvKYQvqytvoJN
guide-for-creating-content-with-optisigns--popular-apps-and-integrations.md	file-7kv6LapHCjepBf6T7gmssp
guide-for-creating-content-with-optisigns--ready-made-templates.md	file-LJ8yUkQZYRLJs4Qw3yaeb7
guide-for-creating-content-with-optisigns--supported-file-and-media-formats.md	file-NwCdP6HiDGynwH14Pr5Hrd
guide-for-creating-content-with-optisigns--thats-it.md	file-6DdMp1Zm4pvPxJiiQ2Lb4g
guide-for-creating-content-with-optisigns--there-are-many-ways-to-get-your-content-into-optis.md	file-SujSQKcTNGij3wBkLLwrVV
handle-oauth-authentication-using-api-gateway-pre-request-configuration--handle-oauth-authentication-using-api-gateway-pre-.md	file-Yb8MMBKUD6vFjYr3TAMr9Z
handle-oauth-authentication-using-api-gateway-pre-request-configuration--in-this-article-we-will-explain-how-to-set-up-a-pr.md	file-7KijGJfhXW8pZJBW6gMXmL
how-to-access-the-troubleshooting-page-of-the-optisigns-player--how-to-access-the-troubleshooting-page-of-the-opti.md	file-9o9TB2oSQPRTw9nb99NgGU
how-to-access-the-troubleshooting-page-of-the-optisigns-player--how-to-access-the-troubleshooting-page.md	file-HNnKwxVywE1uhBZ3HSN85P
how-to-create-custom-news-feeds-with-optisync--adding-text-elements-to-a-digital-menu-board.md	file-CMYoh1Woq6nfWu2mXUVcgC
how-to-create-custom-news-feeds-with-optisync--applying-filters-to-customize-which-news-stories-t.md	file-7ME8v2kCMhGSacctortSSr
how-to-create-custom-news-feeds-with-optisync--bulletin-feed.md	file-GzRjaXBQmfg29oYPmk4Ddr
how-to-create-custom-news-feeds-with-optisync--choosing-the-correct-url-endpoint-for-sharepoint-c.md	file-2KcKihNmz8si7Cqxo3U7Ff
how-to-create-custom-news-feeds-with-optisync--element-mapping.md	file-A34mVi8Pm6nH1rXdw9mrQd
how-to-create-custom-news-feeds-with-optisync--how-to-create-custom-news-feeds-with-optisync.md	file-5LXwBBDmPtdgLUwtCg1odq
how-to-create-custom-news-feeds-with-optisync--how-to-set-up-a-custom-news-feed.md	file-B3NENiHJ5vF1PBKAQFdFCr
how-to-create-custom-news-feeds-with-optisync--in-this-article-we-will-cover-optisigns-ability-to.md	file-V8JqYSvZCjTMwrFTcMdWMU
how-to-create-custom-news-feeds-with-optisync--sharepoint-api-authentication-using-oauth-20-in-mi.md	file-Xx4JcWxQcRRofjKkvV3T2m
how-to-create-custom-news-feeds-with-optisync--sharepoint-news-examples.md	file-WgtGnn3LwLQcxd3aCLMJk2
how-to-create-custom-news-feeds-with-optisync--single-story-feed.md	file-RUEBFx9GhMo8SkyMqrKs1S
how-to-create-custom-news-feeds-with-optisync--step-1-setting-up-a-custom-api-gateway-sharepoint-.md	file-UvL3WwwwESmSzTQfrxZ2CL
how-to-create-custom-news-feeds-with-optisync--step-2-mapping-the-api-to-a-datasource.md	file-To5KdNzNdQHYJixf3ruc6H
how-to-create-custom-news-feeds-with-optisync--step-3-creating-a-news-feed-using-designer-in-opti.md	file-Atkj5o8PJGmUnNf6jNv6nL
how-to-display-dynamic-event-schedules-using-optisync--creating-a-calendar-style-monthly-event-schedule.md	file-R6KGVbD33BbhdVbbexMEfo
how-to-display-dynamic-event-schedules-using-optisync--daily.md	file-B4ZzAStnHU8gXSVsY51Fca
how-to-display-dynamic-event-schedules-using-optisync--examples-of-some-event-schedules-made-with-optisyn.md	file-7GV2k7ChDVUEFYWVZ9AMef
how-to-display-dynamic-event-schedules-using-optisync--how-to-display-dynamic-event-schedules-using-optis.md	file-9r97wt7iwp5MFnQvdtGf1c
how-to-display-dynamic-event-schedules-using-optisync--how-to-set-up-a-daily-event-schedule-that-updates-.md	file-3dZDA3m2yToRq6eTHL2mVG
how-to-display-dynamic-event-schedules-using-optisync--monthly.md	file-U4kkJCE229zk8YxLA3bikS
how-to-display-dynamic-event-schedules-using-optisync--option-1-via-google-sheetexcel.md	file-LLKdADCm3UgQzK3rEPQ96E
how-to-display-dynamic-event-schedules-using-optisync--option-2-via-api.md	file-LS4ob8A9NQuhsgHGiq4s6H
how-to-display-dynamic-event-schedules-using-optisync--setting-up-a-daily-event-schedule-with-optisync.md	file-MRit9BmHufsqLMxpmjJH3h
